run_id,strategy,symbol,start,end,research_score,min_gap_atr,total_trades,wins,losses,win_rate,profit_factor,average_rr,total_pnl,average_winner,average_loser,best_trade_pnl,worst_trade_pnl,stop_buffer,require_trend
2026-07-16_022,unicorn,nifty,2025-01-01,2025-01-31,53.64,0.3,34,14,20,0.4117647058823529,2.1380178239617695,0.7926646876225928,574.8594238281257,77.14288504464301,-25.257048339843823,377.84921875000146,-113.7366071428587,0.25,False
2026-07-16_023,unicorn,nifty,2025-01-01,2025-01-31,62.96,0.3,6,3,3,0.5,3.897363039556786,0.7500855403569231,310.22702287946595,139.09973958333285,-35.690731956844196,377.84921875000146,-53.83289620535652,0.5,True
2026-07-16_024,unicorn,nifty,2025-01-01,2025-01-31,51.91,0.3,33,14,19,0.4242424242424242,1.974269615705474,0.8738940424768329,538.5388113839399,77.95002790178582,-29.092714696897975,377.84921875000146,-119.22321428571377,0.5,False
2026-07-16_025,unicorn,nifty,2025-01-01,2025-01-31,64.18,0.5,6,3,3,0.5,4.835404879373744,0.9740453334554288,330.9984375000022,139.09973958333285,-28.76692708333212,377.84921875000146,-47.400781249998545,0.0,True
2026-07-16_026,unicorn,nifty,2025-01-01,2025-01-31,35.78,0.5,29,9,20,0.3103448275862069,1.4000788475070445,0.0119280058528989,198.9992187500029,77.3776909722223,-24.86999999999989,377.84921875000146,-108.25,0.0,False
2026-07-16_027,unicorn,nifty,2025-01-01,2025-01-31,63.53,0.5,6,3,3,0.5,4.352742287297785,0.8527407211382791,321.42880161830544,139.09973958333285,-31.956805710564367,377.84921875000146,-50.61683872767753,0.25,True
2026-07-16_028,unicorn,nifty,2025-01-01,2025-01-31,33.03,0.5,29,9,20,0.3103448275862069,1.24118730437641,-0.0563953188426106,135.32417689732756,77.3776909722223,-28.05375209263366,377.84921875000146,-113.7366071428587,0.25,False
2026-07-16_029,unicorn,nifty,2025-01-01,2025-01-31,62.97,0.5,6,3,3,0.5,3.957691662930079,0.7500855403569231,311.8591657366087,139.09973958333285,-35.146684337796614,377.84921875000146,-53.83289620535652,0.5,True
2026-07-16_030,unicorn,nifty,2025-01-01,2025-01-31,31.68,0.5,28,9,19,0.3214285714285714,1.1658977808821152,-0.08031562610621,99.09195033483412,77.3776909722223,-31.437224653429823,377.84921875000146,-119.22321428571377,0.5,False
2026-07-16_031,unicorn,nifty,2025-01-01,2025-01-31,62.49,0.7,5,2,3,0.4,4.626261711854629,1.0725919001465225,312.94921875000364,199.625,-28.76692708333212,377.84921875000146,-47.400781249998545,0.0,True
2026-07-16_032,unicorn,nifty,2025-01-01,2025-01-31,46.66,0.7,21,6,15,0.2857142857142857,2.1369492487087003,0.3010258851597752,363.1984374999993,113.77473958333394,-21.29666666666696,377.84921875000146,-47.400781249998545,0.0,False
2026-07-16_033,unicorn,nifty,2025-01-01,2025-01-31,61.77,0.7,5,2,3,0.4,4.164475465372883,0.9386606234748122,303.3795828683069,199.625,-31.956805710564367,377.84921875000146,-50.61683872767753,0.25,True
2026-07-16_034,unicorn,nifty,2025-01-01,2025-01-31,42.17,0.7,21,6,15,0.2857142857142857,1.854991458540172,0.1975799978405087,314.6421944754511,113.77473958333394,-24.53374953497017,377.84921875000146,-50.61683872767753,0.25,False
2026-07-16_035,unicorn,nifty,2025-01-01,2025-01-31,61.15,0.7,5,2,3,0.4,3.786511753264191,0.8245996743090593,293.80994698661016,199.625,-35.146684337796614,377.84921875000146,-53.83289620535652,0.5,True
2026-07-16_036,unicorn,nifty,2025-01-01,2025-01-31,38.62,0.7,21,6,15,0.2857142857142857,1.638765996368509,0.1142194151944454,266.0859514508993,113.77473958333394,-27.770832403273623,377.84921875000146,-56.182142857142026,0.5,False
2026-07-17_001,unicorn,nifty,2025-01-01,2025-01-02,15.84,0.5,2,1,1,0.5,0.4227996411458326,-0.2051580730816283,-29.216057477678987,21.400781249998545,-50.61683872767753,21.400781249998545,-50.61683872767753,,
2026-07-17_002,unicorn,nifty,2025-01-01,2025-01-02,15.84,0.5,2,1,1,0.5,0.4227996411458326,-0.2051580730816283,-29.216057477678987,21.400781249998545,-50.61683872767753,21.400781249998545,-50.61683872767753,,
2026-07-20_001,unicorn,nifty,2025-01-01,2025-01-02,15.84,0.5,2,1,1,0.5,0.4227996411458326,-0.2051580730816283,-29.216057477678987,21.400781249998545,-50.61683872767753,21.400781249998545,-50.61683872767753,,
2026-07-20_002,unicorn,nifty,2025-01-01,2025-01-02,15.84,0.5,2,1,1,0.5,0.4227996411458326,-0.2051580730816283,-29.216057477678987,21.400781249998545,-50.61683872767753,21.400781249998545,-50.61683872767753,,
2026-07-20_003,unicorn,nifty,2025-01-01,2025-01-02,15.84,0.5,2,1,1,0.5,0.4227996411458326,-0.2051580730816283,-29.216057477678987,21.400781249998545,-50.61683872767753,21.400781249998545,-50.61683872767753,,
2026-07-20_004,unicorn,nifty,2025-01-01,2025-01-02,15.84,0.5,2,1,1,0.5,0.4227996411458326,-0.20515807308162837,-29.216057477678987,21.400781249998545,-50.61683872767753,21.400781249998545,-50.61683872767753,,
